Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Timezone Region
4226,West Houston Airport,Houston,United States,IWS,KIWS,29.81819916,-95.67259979,111,-6,A,America/Chicago
4228,Las Cruces International Airport,Las Cruces,United States,LRU,KLRU,32.28939819,-106.9219971,4456,-7,A,America/Denver
4229,Stephens County Airport,Breckenridge,United States,BKD,KBKD,32.71900177,-98.89099884,1284,-6,A,America/Chicago
4230,Draughon Miller Central Texas Regional Airport,Temple,United States,TPL,KTPL,31.15250015,-97.40779877,682,-6,A,America/Chicago
4231,Ozona Municipal Airport,Ozona,United States,OZA,KOZA,30.73530006,-101.2030029,2381,-6,A,America/Chicago
4235,Kaadedhdhoo Airport,Kaadedhdhoo,Maldives,KDM,VRMT,0.4881309867,72.99690247,2,5,U,Indian/Maldives
4236,Aklavik/Freddie Carmichael Airport,Aklavik,Canada,LAK,CYKD,68.223297,-135.00599,23,-7,A,America/Edmonton
4237,Déline Airport,Deline,Canada,YWJ,CYWJ,65.21109772,-123.435997,703,-7,A,America/Edmonton
4238,Tulita Airport,Tulita,Canada,ZFN,CZFN,64.909697,-125.572998,332,-7,A,America/Edmonton
4239,Fort Good Hope Airport,Fort Good Hope,Canada,YGH,CYGH,66.24079895,-128.651001,268,-7,A,America/Edmonton
4242,Tanna Airport,Tanna,Vanuatu,TAH,NVVW,-19.45509911,169.223999,19,11,U,Pacific/Efate
4244,Paulatuk (Nora Aliqatchialuk Ruben) Airport,Paulatuk,Canada,YPC,CYPC,69.36083812,-124.07547,15,-7,A,America/Edmonton
4247,El Trompillo Airport,Santa Cruz,Bolivia,SRZ,SLET,-17.81159973,-63.17150116,1371,-4,U,America/La_Paz
4249,Juancho E. Yrausquin Airport,Saba,Netherlands Antilles,SAB,TNCS,17.64500046,-63.22000122,60,-4,U,America/Curacao
4250,Eagle County Regional Airport,Vail,United States,EGE,KEGE,39.64260101,-106.9179993,6548,-7,A,America/Denver
4252,Stokmarknes Skagen Airport,Stokmarknes,Norway,SKN,ENSK,68.5788269,15.03341675,11,1,E,Europe/Oslo
4253,Cuyahoga County Airport,Richmond Heights,United States,CGF,KCGF,41.56510162,-81.48639679,879,-5,A,America/New_York
4254,Mansfield Lahm Regional Airport,Mansfield,United States,MFD,KMFD,40.82139969,-82.51660156,1297,-5,A,America/New_York
4255,Columbus Metropolitan Airport,Columbus,United States,CSG,KCSG,32.5163002,-84.93890381,397,-5,A,America/New_York
4256,Lawton Fort Sill Regional Airport,Lawton,United States,LAW,KLAW,34.56769943,-98.41660309,1110,-6,A,America/Chicago
4257,Northern Colorado Regional Airport,Fort Collins,United States,FNL,KFNL,40.451804,-105.011,5016,-7,A,America/Denver
4261,Flagstaff Pulliam Airport,Flagstaff,United States,FLG,KFLG,35.13850021,-111.6709976,7014,-7,N,America/Phoenix
4262,Lake Tahoe Airport,South Lake Tahoe,United States,TVL,KTVL,38.89390182,-119.9950027,6264,-8,A,America/Los_Angeles
4263,Joslin Field Magic Valley Regional Airport,Twin Falls,United States,TWF,KTWF,42.4818,-114.487999,4154,-7,A,America/Denver
4265,Martha's Vineyard Airport,Vineyard Haven MA,United States,MVY,KMVY,41.39310074,-70.61430359,67,-5,A,America/New_York
4268,Concord Municipal Airport,Concord NH,United States,CON,KCON,43.20270157,-71.50229645,342,-5,A,America/New_York
4270,Groton New London Airport,Groton CT,United States,GON,KGON,41.33010101,-72.04509735,9,-5,A,America/New_York
4271,St Cloud Regional Airport,Saint Cloud,United States,STC,KSTC,45.54660034,-94.05989838,1031,-6,A,America/Chicago
4272,Qinhuangdao Beidaihe Airport,Bagan,Burma,BPE,ZBDH,39.666389,119.058889,46,8,U,Asia/Shanghai
4273,Golden Triangle Regional Airport,Columbus Mississippi,United States,GTR,KGTR,33.45029831,-88.59140015,264,-6,A,America/Chicago
4274,Nizhny Novgorod Strigino International Airport,Nizhniy Novgorod,Russia,GOJ,UWGG,56.23009872,43.7840004,256,3,N,Europe/Moscow
4275,Bowerman Airport,Hoquiam,United States,HQM,KHQM,46.97119904,-123.9369965,18,-8,A,America/Los_Angeles
4276,Erie International Tom Ridge Field,Erie,United States,ERI,KERI,42.08312701,-80.17386675,732,-5,A,America/New_York
4278,Barnstable Municipal Boardman Polando Field,Barnstable,United States,HYA,KHYA,41.66930008,-70.28040314,54,-5,A,America/New_York
4280,Sedona Airport,Sedona,United States,SDX,KSEZ,34.84859848,-111.788002,4830,-7,A,America/Phoenix
4284,Morgantown Municipal Walter L. Bill Hart Field,Morgantown,United States,MGW,KMGW,39.64289856,-79.91629791,1248,-5,A,America/New_York
4285,Yeager Airport,Charleston,United States,CRW,KCRW,38.37310028,-81.59320068,981,-5,A,America/New_York
4286,Wilkes Barre Scranton International Airport,Scranton,United States,AVP,KAVP,41.33850098,-75.7233963,962,-5,A,America/New_York
4287,Bemidji Regional Airport,Bemidji,United States,BJI,KBJI,47.50939941,-94.93370056,1391,-6,A,America/Chicago
4289,Thangool Airport,Biloela,Australia,THG,YTNG,-24.4939003,150.576004,644,10,O,Australia/Brisbane
4290,Fagali'i Airport,Apia,Samoa,FGI,NSFI,-13.84869957,-171.7400055,131,13,U,Pacific/Apia
4291,Ballina Byron Gateway Airport,Ballina Byron Bay,Australia,BNK,YBNA,-28.83390045,153.5619965,7,10,O,Australia/Sydney
4292,Hector International Airport,Fargo,United States,FAR,KFAR,46.92070007,-96.81580353,902,-6,A,America/Chicago
4293,Charles B. Wheeler Downtown Airport,Kansas City,United States,MKC,KMKC,39.12319946,-94.59279633,759,-6,A,America/Chicago
4295,Ratanakiri Airport,Ratanakiri,Cambodia,RBE,VDRK,13.72999954,106.9869995,0,7,U,Asia/Phnom_Penh
4296,Gillette Campbell County Airport,Gillette,United States,GCC,KGCC,44.34889984,-105.5390015,4365,-7,A,America/Denver
4297,Bogashevo Airport,Tomsk,Russia,TOF,UNTT,56.38029861,85.20829773,597,7,N,Asia/Krasnoyarsk
4298,El Toro Marine Corps Air Station,Santa Ana,United States,NZJ,KNZJ,33.67610168,-117.7310028,383,-8,A,America/Los_Angeles
4299,Phetchabun Airport,Phetchabun,Thailand,PHY,VTPB,16.6760006,101.1949997,450,7,U,Asia/Bangkok
4300,Chumphon Airport,Chumphon,Thailand,CJM,VTSE,10.71119976,99.36170197,18,7,U,Asia/Bangkok
4301,Jiuzhai Huanglong Airport,Jiuzhaigou,China,JZH,ZUJZ,32.85333333,103.6822222,11327,8,U,Asia/Shanghai
4302,Jieyang Chaoshan International Airport,Shantou,China,SWA,ZGOW,23.552,116.5033,0,8,U,Asia/Shanghai
4304,Cheddi Jagan International Airport,Georgetown,Guyana,GEO,SYCJ,6.498549938,-58.2541008,95,-4,U,America/Guyana
4305,Guarani International Airport,Ciudad del Este,Paraguay,AGT,SGES,-25.454516,-54.842682,846,-4,S,America/Asuncion
4306,Eugene F. Correira International Airport,Georgetown,Guyana,OGL,SYGO,6.80628,-58.1059,10,-4,U,America/Guyana
4307,Kaieteur International Airport,Kaieteur,Guyana,KAI,PKSA,5.172754765,-59.49148178,1520,-4,U,America/Guyana
4308,Dunhuang Airport,Dunhuang,China,DNH,ZLDH,40.16109848,94.80919647,0,8,U,Asia/Shanghai
